SC_Stimuli,trials_stimuli.thisRepN,trials_stimuli.thisTrialN,trials_stimuli.thisN,trials_stimuli.thisIndex,text_Instruction.started,text_Instruction.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,text_SC_task.started,text_SC_task.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,5.225643899990246,None,space,0.40397360001225024,5.225643899990246,None,,,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
Nach dem Theaterstück ernteten sie viel _____.,0,0,0,0,,,,,,,5.734941000002436,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
Das einsame Küken sucht seine _____.,0,1,1,1,,,,,,,11.70185010007117,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
Schimpansen sind eine Gattung von _____.,0,2,2,2,,,,,,,17.717824000050314,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
Das Kätzchen kletterte auf einen _____.,0,3,3,3,,,,,,,23.721201800042763,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
L vhpgjhll chkg bhp nlng _____.,0,4,4,4,,,,,,,29.723713800078258,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
Ibg knnkpyxg kg snpsrg lp _____.,0,5,5,5,,,,,,,35.696211499976926,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
Kbglg sp sk pzbdkl kn Pmxqrrhc kr _____.,0,6,6,6,,,,,,,41.70583860005718,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
Xk jfmg nqrnlg clq jsd ngr hmr _____.,0,7,7,7,,,,,,,47.69998260005377,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
Der Kapitän lenkte geschickt sein _____.,0,8,8,8,,,,,,,53.69739770004526,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
Zu viele Süßigkeiten machen _____.,0,9,9,9,,,,,,,59.679988700081594,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
Die Biertrinker hoben ihre _____.,0,10,10,10,,,,,,,65.71213680005167,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
Sie bezieht das Bett mit frischem _____.,0,11,11,11,,,,,,,71.70948810002301,None,001,,2020_Jul_24_1012,SC_experiment,3.2.4,60.025054466827726,
